회사명,공고명,"채용 형태(경력, 신입)",직장 위치,키워드,마감 기한,공고 링크
네이버랩스,Computer Vision & Deep Learning Engineer (인턴십/로보틱스 프로젝트),신입,경기 성남시,"로봇플랫폼 개발, 딥러닝, 로봇이동 기술연구, 컴퓨터비전",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43341920?Oem_Code=C1&logpath=1&stext=&listno=77
㈜삼보컴퓨터,"(안산) 삼보컴퓨터 전산팀 인프라관리자/ERP, 그룹웨어, MES관리자 채용/계열사",신입·경력,경기 안산시,"데이터관리, 시스템운영, Tomcat, 컴퓨터, 서버관리, 유지보수",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43341704?Oem_Code=C1&logpath=1&stext=&listno=78
네이버랩스,Computer Vision & Deep Learning Engineer (인턴십/자율주행 프로젝트),신입,경기 성남시,"자율주행 연구, 딥러닝, 컴퓨터비전 연구",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43341642?Oem_Code=C1&logpath=1&stext=&listno=79
㈜포스토피아,솔루션 개발/ 프로젝트 설계&개발  신입 정규직 채용,신입,서울 광진구,"인쇄, 출력",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43341197?Oem_Code=C1&logpath=1&stext=&listno=80
NICE페이먼츠㈜,[NICE페이먼츠] 23년 IT 경력 상시 채용,신입·경력1년↑,서울 마포구,클라이언트,~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43341083?Oem_Code=C1&logpath=1&stext=&listno=81
에스케이쉴더스㈜,정보보안 관제 신입/경력직 채용(분당),신입·경력,경기 성남시,"네트워크보안, 보안관제, 정보보안, 보안컨설팅, 정보보안",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43340634?Oem_Code=C1&logpath=1&stext=&listno=82
㈜뉴프렉스,제조업체 전산관리자(서버/네트워크 관리) 신입 및 경력 모집,신입·경력,경기 안산시,"FPCB, 시스템운영, ERP 전산, 방화벽, 전산, 네트워크관리, ERP, PCB, 전산관리자, 네트워크관리, 정보보안, 서버구축",~11/22(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43340616?Oem_Code=C1&logpath=1&stext=&listno=83
네오컨버전스㈜,네오컨버전스(주) 하반기 윈도우 어플리케이션 개발자 채용,신입·경력1년↑,서울 성동구,솔루션,~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43340461?Oem_Code=C1&logpath=1&stext=&listno=84
해성손해사정㈜,"해성손해사정(주) 경영기획본부 (회계경리팀, IT개인정보관리팀) 채용공고",신입·경력,서울 중구 외,"4대보험, 재무회계, 더존, 손해사정, 시스템운영, 방화벽, 기업회계, 결산, 네트워크관리, 재무기획, 보안관제, 생명보험, 입출금관리, 네트워크관리, 정보보안, 화재보험, 핀테크, 법인결산, 암호화폐, 전산회계",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43334767?Oem_Code=C1&logpath=1&stext=&listno=85
㈜알리는사람들,[알리고문자] 서비스 운영 담당자 채용,신입·경력,서울 성동구 외,"서비스분석, 데이터분석, 원격상담, 민원상담, 네트워크관리, 시스템운영, 접수·예약, 단순안내, 전화상담, 게시판관리, 고객지원, 모바일App, 시스템분석, 고객문의분석, 앱기획, UI·UX기획, 시스템설계, 데이터분석, 콘텐츠기획, 스토리보드",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43333096?Oem_Code=C1&logpath=1&stext=&listno=86
큐알티,[신입] 23년 4분기 기획재경실 IT/웹개발 직무 채용,신입,경기 이천시,"시스템 운영, 시스템 개발",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43338699?Oem_Code=C1&logpath=1&stext=&listno=87
카카오페이,인턴 - PFM 자산관리 서비스 개발 및 운영,신입,경기 성남시,"서비스개발/운영, 서비스기획",~11/29(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43336815?Oem_Code=C1&logpath=1&stext=&listno=88
㈜제이브이엠,[한미약품관계사] (주)제이브이엠 제어설계 부문 모집,신입·경력3년↑,대구 달서구,"도면관리, 전장설계, PLM, 의료기기, 펌웨어, 회로설계, 제어·설계",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43336201?Oem_Code=C1&logpath=1&stext=&listno=89
㈜휴온스글로벌,휴온스글로벌 각 부서 신입/경력직 모집 (23.11),신입·경력1년↑,경기 성남시,"내부회계, 리스크관리, CP, 바이오, 의약, 제약, 컴플라이언스, 평가·보상, 정보보안",~11/27(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43335769?Oem_Code=C1&logpath=1&stext=&listno=90
㈜클라우드네트웍스,[클라우드네트웍스] 네트워크엔지니어(L2/L3) 모집 (신입/경력),신입·경력,서울 강남구,"시스템운영, 네트웍구축, 네트워크관리",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43335023?Oem_Code=C1&logpath=1&stext=&listno=91
㈜클라우드네트웍스,[클라우드네트웍스] 네트워크엔지니어(L4/L7) 모집 (신입/경력),신입·경력,서울 강남구,"시스템운영, 네트웍구축, 네트워크관리",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43335001?Oem_Code=C1&logpath=1&stext=&listno=92
㈜씨디네트웍스,CDN/Cloud 서비스 매니저 채용 [신입],신입,서울 중구,"시스템운영, CDN, 서버관리",~01/14(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43334670?Oem_Code=C1&logpath=1&stext=&listno=93
㈜씨디네트웍스,Cloud Service Manager 채용 [신입/경력],신입·경력2년↑,서울 중구,"CDN, 시스템운영, 서버관리",~01/14(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43334612?Oem_Code=C1&logpath=1&stext=&listno=94
㈜세종아이티엘,하반기 신입사원 공채 (네트워크 영업),신입,서울 구로구,"네트워크관리, IDC, 네트웍구축, 시스템운영, 방화벽, 네트워크관리, 네트워크관리, 통신, 서버구축",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43334449?Oem_Code=C1&logpath=1&stext=&listno=95
㈜투이컨설팅,금융 컨설팅 프로젝트 : 컨설턴트 Assistant (인턴) 모집,신입,서울 영등포구,"SM, 솔루션, SI, 시스템분석, 시스템설계, 소프트웨어개발",~11/24(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43333485?Oem_Code=C1&logpath=1&stext=&listno=96
㈜인사이드정보,인사이드정보 개발자 채용,신입·경력3년↑,서울 강남구 외,"e러닝, 온라인교육운영, 기능학원, 기업교육, 어학원, e러닝, 서비스기획, UI·UX기획",~12/08(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43332759?Oem_Code=C1&logpath=1&stext=&listno=97
㈜엑스퍼트컨설팅,"웹기획자, 온라인 평생교육 교육운영자, JAVA 웹개발자 인재모집",신입·경력5년↑,서울 송파구,"거래처관리, 기술지원, 시장조사, 자료조사, A·S수리, 기술지원, 납품영업, 영업기획, 유지보수, 장비영업, 행정, 문서작성, 브랜드기획, 유통영업, 네트워크관리, 시스템운영, 기계조작, 렌탈영업, 영업전략, A·S수리",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43331239?Oem_Code=C1&logpath=1&stext=&listno=98
티지에스,㈜TGS 신입 및 경력 각 부문 채용,신입·경력,서울 종로구 외,"클라우드개발자, 인사행정, 인사기획, 클라우드아키텍트, 인사교육",~11/21(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43292025?Oem_Code=C1&logpath=1&stext=&listno=99
우리에프아이에스㈜,우리에프아이에스㈜ 직원 채용,신입·경력3년↑,서울 마포구,,~11/23(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43314495?Oem_Code=C1&logpath=1&stext=&listno=100
㈜웨이버스,"㈜웨이버스 정기채용 (웹/CS/모바일 개발, 솔루션 기획/개발/운영, 디자인&퍼블리싱, 해외사업)",신입·경력,서울 구로구 외,"네트워크관리, GUI, SI개발, 웹표준·웹접근성, 인터페이스, UI·UX기획, GUI, GUI, 데이터분석, SI개발, PL, 콜센터, 해외마케팅, 네트워크관리, 수출입계약, 시스템분석, 시스템운영, 제안·컨설팅, PM, 모바일디자인",~11/24(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43313014?Oem_Code=C1&logpath=1&stext=&listno=101
카페스㈜,"2023년 하반기 시스템 검증/설계, 전기 엔지니어 신규채용",신입·경력,서울 송파구 외,"신재생, 전기, 전기공사, 전기기사, 전기기술, 전기설계, 전기설비, 전기제어, 전자, 전자회로, 제어, 기계설계, 밸브, CAD, 시스템설계, 검증, 회로설계, PCB, PLC, CAM",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43326940?Oem_Code=C1&logpath=1&stext=&listno=102
삼정데이타서비스㈜,데이터 디자인 랩(연구소) 개발자 신입/경력 채용,신입·경력,서울 구로구,"시스템분석, 정보보안, R&D, SI개발, 소프트웨어개발",~12/14(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43321928?Oem_Code=C1&logpath=1&stext=&listno=103
㈜안랩,[안랩] 2024년 상반기 현장실습형 인턴 모집,신입,경기 성남시,"기업홍보, 사업관리, 연구기획, 테스트자동화개발, 네트워크보안, 백신프로그램, 보안소프트웨어, 보안컨설팅, 정보보안, 정보보안",~11/22(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43328137?Oem_Code=C1&logpath=1&stext=&listno=104
소프트캠프㈜,보안SW 개발직 신입/경력사원 모집 (Java/Web개발자),신입·경력3년↑,경기 성남시,"시스템운영, 보안소프트웨어, 정보보안",~12/14(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43325215?Oem_Code=C1&logpath=1&stext=&listno=105
한화파워시스템㈜,[에너지부문] 해외대 석/박사 R&D 채용(제어시스템 개발),신입·경력,경기 성남시,"주문형 압축기 개발, 기본설계, 시스템설계, 제어시스템 개발",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43324889?Oem_Code=C1&logpath=1&stext=&listno=106
한화파워시스템㈜,[에너지부문] 해외대 석/박사 R&D 채용(기본설계-압축기 소음),신입·경력,경기 성남시,"주문형 압축기 개발, 기본설계, 시스템설계, 제어시스템 개발",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43324870?Oem_Code=C1&logpath=1&stext=&listno=107
한화파워시스템㈜,[에너지부문] 해외대 석/박사 R&D 채용(주문형 압축기 개발),신입·경력,경기 성남시,"주문형 압축기 개발, 기본설계, 시스템설계, 제어시스템 개발",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43324849?Oem_Code=C1&logpath=1&stext=&listno=108
한화파워시스템㈜,[에너지부문] 해외대 석/박사 R&D 채용,신입·경력,경기 성남시,"주문형 압축기 개발, 기본설계, 시스템설계, 제어시스템 개발",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43324811?Oem_Code=C1&logpath=1&stext=&listno=109
이너버스,IT 보안 소프트웨어 QA (신입 및 경력),신입·경력2년↑,서울 영등포구,"솔루션, 소프트웨어개발",~12/14(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43324255?Oem_Code=C1&logpath=1&stext=&listno=110
이너버스,IT 보안 소프트웨어 기획 (신입/경력),신입·경력2년↑,서울 영등포구,"솔루션, 콘텐츠기획, 스토리보드, 서비스기획, 소프트웨어개발",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43324249?Oem_Code=C1&logpath=1&stext=&listno=111
이너버스,IT보안 - SIEM 솔루션 기술 엔지니어 (신입/경력),신입,서울 영등포구,"솔루션영업, 솔루션, 보안관제, 데이터분석, 정보보안, 기술지원",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43324233?Oem_Code=C1&logpath=1&stext=&listno=112
삼보모터스,2023 하반기 삼보모터스 개발2팀 신입/경력 채용,신입·경력,대구 달서구 외,"자동차부품, 자동차",~11/24(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43323675?Oem_Code=C1&logpath=1&stext=&listno=113
에스케이매직,Data Scientist 인턴 모집,신입,서울 종로구,"cs 케이스 예측, 데이터분석, Voc 분석 자동화",~11/21(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43323379?Oem_Code=C1&logpath=1&stext=&listno=114
㈜트윔,[면접비 지급] 검사 운영자(공정엔지니어) 영입(H/W),신입·경력2년↑,경기 화성시 외,"검증, 정보통신, LCD, 디스플레이, 자동화라인",~12/14(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43323304?Oem_Code=C1&logpath=1&stext=&listno=115
㈜이스트게임즈,MMORPG 3D 배경 에셋 제작/캐릭터 모델링 디자이너,신입·경력,서울 서초구 외,"3DSmax, ue4, ZBRUSH, 배경, 애니메이션, 모델링, MMORPG",~01/13(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43321677?Oem_Code=C1&logpath=1&stext=&listno=116
한화시스템㈜/방산,MRO IT기획 경력사원 채용,신입·경력,서울 중구 외,"전기설계, 솔루션영업, 자동제어, 전기회로, 기구설계, 제어",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43321092?Oem_Code=C1&logpath=1&stext=&listno=117
㈜대동모빌리티,2023년 하반기 각 부문 정규직 채용,신입·경력,경기 안성시 외,"관리회계, 부가세신고, 상품입출고, 생산기술, 창고관리, PCB, SI개발, 4대보험, 거래처관리, 기구설계, 재무회계, 조립, 펌웨어, 더존, 시장조사, 식품MD, 품질보증, A·S수리, 기술지원, 생산관리",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43318353?Oem_Code=C1&logpath=1&stext=&listno=118
롯데캐피탈㈜,롯데캐피탈㈜ 2023년 11월 롯데캐피탈 신입사원 채용 일반전형,신입·경력,서울 강남구,"전산입력, 펌웨어, 시장조사, 자료조사, SI개발, 시장조사, 금융, 시스템분석, 시스템운영, 데이터분석, 서버관리, 시스템운영, 서버구축, 시스템분석, 네트워크관리, 보안관제, 상품기획, 시스템설계, 전략기획, 신용분석",~11/22(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43312932?Oem_Code=C1&logpath=1&stext=&listno=119
㈜인지소프트,인지소프트 17기 하반기 공채,신입·경력1년↑,서울 강남구,"네트워크관리, C++, 기업홍보, SI개발, 거래처관리, 라이센싱, 솔루션영업, 옥외광고, 펌웨어, IMC, 브랜드기획, 검증, 임베디드, java Script, SI개발, 솔루션, 영업기획, 프로모션, 회로설계, C#",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43303151?Oem_Code=C1&logpath=1&stext=&listno=120
후성홀딩스㈜,2024년도 후성그룹 대졸 신입/경력사원 공개채용,신입·경력,경기 성남시 외,"관리회계, 메카트로닉스, 전산입력, 제품개발, 기업홍보, 사이트관리, 신소재, 거래처관리, 재무회계, 회로설계, 제어·설계, 연구·실험·기술, 유지보수, 임베디드, 품질보증, 신소재, 납품영업, 생산관리, 영업기획, 품질보증",~11/22(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43286950?Oem_Code=C1&logpath=1&stext=&listno=121
㈜솔라테크,하반기 부문별 채용공고 : 태양광/EPC/사업기획/공사관리 외주구매/구조검토/마케팅/인사총무/재무회계/사업확장 채용/ 근무지:광명,신입·경력,경기 광명시 외,"관리회계, 전산입력, 철골, 재무회계, 회로설계, 제어·설계, 복리후생, 브랜드기획, 프로모션, SNS마케팅, 비품관리, 영업기획, 키워드광고, 프로모션, EPC, 구조설계, 문서관리, 카페·블로그관리, 브랜드기획, 신사업기획",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43314467?Oem_Code=C1&logpath=1&stext=&listno=122
우아한청년들,[우아한청년들] 신입 인재 모집,신입,서울 송파구,"데이터분석, 시스템운영, 유통, 물류, 운영관리",~11/23(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43299892?Oem_Code=C1&logpath=1&stext=&listno=123
한국타이어앤테크놀로지,[R&D] IT Infra 구축,신입,대전 유성구,"R&D, 시스템설계",~01/01(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43318134?Oem_Code=C1&logpath=1&stext=&listno=124
㈜인스웨이브시스템즈,[정규직] Back-End 프레임워크 솔루션 기술지원 및 유지보수 채용,신입·경력,서울 강서구,"솔루션, 서버관리, 아키텍처, 소프트웨어개발",~12/13(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43313742?Oem_Code=C1&logpath=1&stext=&listno=125
㈜핸디소프트,[소프트웨어부문] 클라우드 서비스 운영자 채용,신입·경력1년↑,경기 안양시,"모바일앱개발, 솔루션, 네트워크관리, 시스템운영, 시스템운영, 시스템분석, 네트워크관리, 서버관리, 소프트웨어개발",~01/12(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43312761?Oem_Code=C1&logpath=1&stext=&listno=126
㈜TPC메카트로닉스,제조업 전산 IT 운영담당자 채용,신입·경력3년↑,인천 서구 외,"네트워크관리, 시스템운영, 시스템분석",~01/12(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43312562?Oem_Code=C1&logpath=1&stext=&listno=127
㈜재능이아카데미,[재능그룹] JEI 재능이아카데미 웹 개발자 채용공고,신입·경력,서울 종로구,"모바일앱개발, 회원관리시스템, JavaScript, jquery, DBMS, MS-SQL, Nodejs, Android, WEB개발, asp, 모바일앱, ClassicASP, AJAX, IOS, mobileapp, Webview, 소프트웨어개발",~11/27(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43312218?Oem_Code=C1&logpath=1&stext=&listno=128
㈜신도리코,[신도리코] 2024년도 채용연계형 인턴 및 경력직 모집,신입·경력,서울 성동구,"A·S수리, 기술지원, 장비영업, 설치, 거래처관리, 유지보수, 인쇄기계",~11/27(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43311739?Oem_Code=C1&logpath=1&stext=&listno=129
대성산업㈜,대성산업(주) 각 부문별 신입/경력 수시채용,신입·경력,경북 문경시 외,"기구설계, 기술영업, 금형설계, 에너지, 전기설계",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43310243?Oem_Code=C1&logpath=1&stext=&listno=130
㈜리노커뮤니케이션즈,[리노컴즈] 2023 퍼블리셔 공개채용,신입·경력2년↑,서울 송파구 외,"웹표준·웹접근성, GUI, 반응형웹, 웹마스터, 웹에이전시",~12/13(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43309728?Oem_Code=C1&logpath=1&stext=&listno=131
글루온아이앤에스,글루온아이앤에스 IT컨설턴트 / 업무지원 [인턴사원/경력] 사원 채용합니다.,신입·경력,서울,"네트워크관리, 전산입력, 데이터관리, 사이트관리, Adobe, SI개발, 거래처관리, 라이센싱, 솔루션영업, 데이터분석, 자료조사, 자료조사, JavaScript, SI개발, 납품영업, 네트워크보안, 솔루션, 영업기획, 행정, DBMS",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43309700?Oem_Code=C1&logpath=1&stext=&listno=132
㈜리노커뮤니케이션즈,[리노컴즈] 2023 웹개발 공개채용,신입·경력2년↑,서울 송파구 외,웹에이전시,~12/13(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43309592?Oem_Code=C1&logpath=1&stext=&listno=133
㈜펄어비스,2024 QA Beginner 인턴십 모집,신입·경력,경기 과천시,"업무 지원, 밸런스 테스트 진행, 온라인 게임 테스트, 모바일 게임 테스트, MMORPG",~11/27(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43308961?Oem_Code=C1&logpath=1&stext=&listno=134
㈜가비아,2023년 하반기 가비아 인턴/경력 공개채용,신입·경력,경기 성남시 외,"네트워크관리, GUI, 솔루션스아키텍트, 시스템영업, 시스템운영, 기술영업, 방화벽, 사업기획, 서버구축, 시스템분석, 보안관제, 시스템설계, 인터페이스, 전략기획, 네트워크관리, 정보보안, 클라우드개발자, 반응형웹, 기술지원, 네트워크영업",~12/03(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43296983?Oem_Code=C1&logpath=1&stext=&listno=135
지니언스(주),기술연구소 개발직 인턴을 모집합니다,신입,경기 안양시 외,"네트워크보안, 보안소프트웨어, 정보보안",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43308302?Oem_Code=C1&logpath=1&stext=&listno=136
㈜컴퓨존,퍼블리싱팀 신입/경력 채용,신입·경력,서울 용산구,"B2B, GUI, 웹표준·웹접근성, B2C, 상품기획, GUI, 전자상거래, 전자제품대리점, 하드웨어, 반응형웹, 앱기획, UI·UX기획, 웹마스터, 콘텐츠기획, 쇼핑몰, 인터페이스, 오픈마켓, 소셜커머스, 반응형웹, 서비스기획",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43302627?Oem_Code=C1&logpath=1&stext=&listno=137
쿠도커뮤니케이션㈜,2024년 신입사원 공개채용,신입·경력,서울 서초구,"네트워크관리, 모바일앱개발, OLAP개발자, 데이터관리, 거래처관리, 솔루션영업, 수출입계약, 펌웨어, SI개발, 영업기획, 장비영업, 행정, 문서관리, 시스템영업, 해외마케팅, 수출입관리, 네트워크관리, 수출입계약, 서버관리, 영업전략",~11/24(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43301627?Oem_Code=C1&logpath=1&stext=&listno=138
SK쉴더스㈜,Cloud 보안 분야 신입/경력직 채용,신입·경력,경기 성남시 외,"네트워크보안, 방화벽, IDS, 보안관제, 네트워크관리, 정보보안, 보안컨설팅, 정보보안",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43305685?Oem_Code=C1&logpath=1&stext=&listno=139
㈜지아이티,현대자동차 그룹 (주)지아이티 하반기 대규모 수시채용,신입·경력,서울 송파구,"관리회계, 전기설계, 수소차, 거래처관리, 캐드원, 부가세신고, 데이터분석, 전기차, 영업기획, 전자, 행정, 검증, 시스템설계, 해외마케팅, 회로설계, DRM, 수출입계약, Hardware, 3D설계, 가맹점관리",~11/24(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43292043?Oem_Code=C1&logpath=1&stext=&listno=140
㈜윈스,2024 ㈜윈스 신입&경력 공개채용,신입·경력,경기 성남시 외,"정보디자인, GUI, ISMS, 솔루션영업, SI개발, 네트워크보안, 영업기획, 테스터, 행정, 시스템영업, 웹마스터, 네트워크관리, 수출입계약, 시스템운영, 모바일디자인, 서버관리, 영업전략, 기술영업, 방화벽, 서버구축",~11/21(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43296241?Oem_Code=C1&logpath=1&stext=&listno=141
샘표식품㈜,2023 샘표식품 각 부문 수시채용,신입·경력,경기 이천시 외,"정보디자인, 패키지디자인, 복리후생, 안전평가, 고객경험관리, 거래처관리, 식품MD, 품질보증, 미생물, 원격상담, 납품영업, 생산관리, 영업기획, 품질보증, 건강식품연구, PL, 검증, 물류센터, 플랜트, 민원상담",~11/21(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43277745?Oem_Code=C1&logpath=1&stext=&listno=142
㈜지어소프트,[지어소프트] 전략사업팀 기획인력 채용,신입·경력,서울 종로구 외,"모바일앱개발, BigData, SI개발, 펌웨어, 데이터분석, 솔루션, Back-end, 네트워크관리, 시스템운영, 제안·컨설팅, SI, 서버구축, 시스템분석, 앱기획, web, UI·UX기획, 콘텐츠기획, 시스템설계, 스토리보드, app",~12/27(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43296941?Oem_Code=C1&logpath=1&stext=&listno=143
라온시큐어㈜,2023년 라온시큐어 각 부문 신입 및 경력 채용,신입·경력,서울 영등포구,"모바일앱개발, 소프트웨어개발, 솔루션, 경영기획, 문화기획, UI·UX기획, 카페·블로그관리, 키워드광고, SNS마케팅, 서버관리, 클라이언트, HTTP, SI개발, GUI, 반응형웹, 인터페이스, 암호화폐, 인터페이스, 핀테크, SI개발",~11/23(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43284185?Oem_Code=C1&logpath=1&stext=&listno=144
㈜자비스,판교중앙연구소 검사팀 SW 개발 엔지니어 모집,신입·경력2년↑,경기 성남시 외,"영상 처리, 비전, 자동제어, 전자, 알고리즘",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43302529?Oem_Code=C1&logpath=1&stext=&listno=145
㈜투이컨설팅,금융 부문 프로젝트관리 컨설팅 Assistant(인턴) 모집,신입,서울 영등포구,"하드웨어, 유지보수",~11/24(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43301202?Oem_Code=C1&logpath=1&stext=&listno=146
㈜인콘,"[경력] 영상 관제 솔루션 개발자 모집 (C#, Visual C++, MS-SQL)",신입·경력3년↑,서울 강남구,"네트워크관리, 솔루션영업, 시스템영업, 기술영업, 시스템운영, 하드웨어, 네트워크관리, 서버구축, 기술지원, 네트워크영업, 컴퓨터, AS, 유지보수",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43299967?Oem_Code=C1&logpath=1&stext=&listno=147
㈜링네트,하반기 신입사원 공채 (네트워크 엔지니어/영업),신입,서울 구로구,"네트웍구축, 방화벽, 네트워크관리, 보안관제, 정보보안",~11/27(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43299290?Oem_Code=C1&logpath=1&stext=&listno=148
㈜케이엑스넥스지,"주식회사 케이엑스넥스지 기술지원본부 (네트워크보안, VPN 방화벽구축 및 유지보수 등) 신입/경력 채용",신입·경력,서울 강동구,"방화벽, 네트워크관리, 정보보안",~01/09(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43299890?Oem_Code=C1&logpath=1&stext=&listno=149
㈜케이엑스넥스지,(주)케이엑스넥스지 네트워크보안 S/W 개발자(분야별) 신입/경력 채용,신입·경력,서울 강동구,"네트워크관리, IDC, 네트웍구축, 시스템운영, 방화벽, 네트워크관리, 네트워크관리, 통신, 서버구축",~01/09(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43299877?Oem_Code=C1&logpath=1&stext=&listno=150
㈜세종아이티엘,하반기 신입사원 공채 (네트워크 엔지니어),신입,서울 구로구,"GUI, GUI, 시스템운영, 프랜차이즈, 반응형웹, 네트워크관리, 식품, 웹마스터, 음식료, 인터페이스, 카페, 반응형웹",~11/27(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43299474?Oem_Code=C1&logpath=1&stext=&listno=151
㈜앤하우스,[메가MGC커피] DX팀 IT 운영 및 지원 담당자 채용 (사원/주임급),신입,서울 강남구,"네트워크관리, 네트워크관리, 방화벽, 시스템분석, 네트워크관리, 보안소프트웨어, 정보보안",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43298751?Oem_Code=C1&logpath=1&stext=&listno=152
펜타시큐리티㈜,[펜타시큐리티] 해외 기술지원 컨설턴트 담당자 모집,신입·경력7년↑,서울 영등포구,"정밀광학, LCD, 디스플레이, 디스플레이, 반도체·LCD, LED",~01/01(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43283226?Oem_Code=C1&logpath=1&stext=&listno=153
참엔지니어링㈜,"영상처리(Vision) 개발 인재 채용(C++, C# )",신입·경력3년↑,경기 용인시,"후공정검사, 시스템설계",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43296417?Oem_Code=C1&logpath=1&stext=&listno=154
야스,검사시스템팀 신입/경력사원 채용,신입·경력,경기 파주시,"PCB, GUI, 회로설계",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43296062?Oem_Code=C1&logpath=1&stext=&listno=155
오리온테크놀리지,(주)오리온테크놀리지 연구소 설계 담당 채용,신입·경력,경북 김천시 외,"건축설계, 메카트로닉스, 제품개발, 가스점검, 빅데이터, 금속·철강, 컴플라이언스, 제어·설계, 캐드원, 품질보증, 신소재, 생산관리, 장비영업, 검증, 해외마케팅, 에너지, 중국어, 토목, 환경, 신소재",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43295603?Oem_Code=C1&logpath=1&stext=&listno=156
