회사명,공고명,"채용 형태(경력, 신입)",직장 위치,키워드,마감 기한,공고 링크
쿼드스페이스㈜,쿼드스페이스 인테리어 시공팀 / 설계팀 / 공무팀 채용,신입·경력,서울 강남구 외,"건축감리, 건축설계, 보수·철거, 전산입력, 4대보험, 재무회계, 복리후생, 캐드원, 건축설계, 더존, 리모델링, 비품관리, 유지보수, 건축시공, 문서관리, 플랜트, 건축CM, 결산, 문서작성, 인테리어",~12/21(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43367731?Oem_Code=C1&logpath=1&stext=&listno=14
에스씨에스프로㈜,2023년도 하반기 신입/경력 사원모집(국내영업팀/해외영업팀/품질팀),신입·경력,서울 금천구,"상품입출고, 기구설계, 검증, 품질보증, 생산관리, 재고관리, 품질보증, 검증, 시스템설계, 해외마케팅, 회로설계, 수출입계약, 시스템분석, 중국어, 정보보안, 하드웨어, HACCP, 바이어개발, 영어, 기타외국어",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43364293?Oem_Code=C1&logpath=1&stext=&listno=15
H&H 파이낸셜대부㈜,본사 영업전략/ 기획관리 경력자 채용,신입·경력,서울 강서구 외,"문서작성, 종합금융, 컴플라이언스, 거래처관리, 복리후생, 실적, 엑셀, 행정, 여신, 자료조사, 자료조사, 내부업무 프로세스 개선, 비품관리, 영업기획, 행정, 송무담당, 문서작성, 캐피탈, 전산개발, 데이터분석",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43365167?Oem_Code=C1&logpath=1&stext=&listno=16
㈜웨어밸리,웨어밸리 부문별 개발자 채용 공고,신입·경력3년↑,서울 마포구 외,"데이터관리, 웹표준·웹접근성, 펌웨어, 솔루션, 방화벽, 네트워크관리, 서버관리, 소프트웨어개발",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351861?Oem_Code=C1&logpath=1&stext=&listno=17
㈜세종교육,[IT취업률100프로]AIoT/AWS/풀스택개발(무료숙식교육/비전공자가능/수도권기숙) 2023 마지막 국비무료 취준생 선착순 모집,신입,경기 성남시,"빅데이터, 직업전문학교, 딥러닝, 서버관리, 인공지능, 반응형웹, 클라이언트",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43348587?Oem_Code=C1&logpath=1&stext=&listno=18
주식회사 레가토,[(주)레가토] 2023 하반기 각 분야 채용,신입·경력,경기 부천시 외,"문서관리, 문서작성, 전산입력, 문서관리, 비품관리, 자산관리, 복리후생, 서무, 행정, 더존, 문서관리, 문서작성, 자산관리, 전산입력, 인사기획, 인사교육, 인사행정, 경력관리, 노사관리, 복리후생",~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43356893?Oem_Code=C1&logpath=1&stext=&listno=19
㈜CMB영등포방송,씨엠비영등포방송 부문별 정규직 채용,신입·경력,서울 영등포구 외,"자재관리, 네트워크구축운영관리, 시스템네크워크보안, 브랜드기획, 전략기획, 콘텐츠기획, 시장분석, 브랜딩, SNS마케팅, 바이럴마케팅, 키워드광고, 프로모션, 서버관리, 네트워크관리, 고객관리",~11/30(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43363134?Oem_Code=C1&logpath=1&stext=&listno=20
㈜테스콤,Python S/W 설계,신입·경력3년↑,경기 고양시 외,"전자, C#, Python, 시스템분석, 파이썬, 아키텍처, 시스템설계",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43373520?Oem_Code=C1&logpath=1&stext=&listno=21
티맥스그룹,[TmaxTibero] 기술직군(기술지원 엔지니어/QA) 채용,신입·경력,경기 성남시,"BigData, 데이터관리, DataWarehouse, 솔루션, 테스터, DBMS, 웹마스터, 시스템분석, 클라이언트, SI개발, OLAP, 아키텍처, 시스템설계, 검증, 소프트웨어개발",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43370944?Oem_Code=C1&logpath=1&stext=&listno=22
㈜이스트게임즈,UI 기획/모바일 MMORPG 게임 기획,신입·경력,서울 서초구,"UI·UX기획, 게임기획, MMORPG, 서비스기획",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43369647?Oem_Code=C1&logpath=1&stext=&listno=23
